Label,Number,Type,Initial Valley,Final Valley,Phonon absorption,Phonon emission,Energy,Z_f,Angular
POP_G_A,1,1,1,1,1,0,0,0,1
POP_G_E,2,1,1,1,0,1,0,0,1
Acoustic_G,3,2,1,1,0,0,0,0,2
Alloy_G,4,3,1,1,0,0,0,0,2
II_G,5,4,1,1,0,0,0,0,3
IV_GL_A,6,5,1,2,1,0,1,4,2
IV_GL_E,7,5,1,2,0,1,1,4,2
IV_GX_A,8,5,1,3,1,0,2,3,2
IV_GX_E,9,5,1,3,0,1,2,3,2
Acoustic_L,10,2,2,2,0,0,0,0,2
Alloy_L,11,3,2,2,0,0,0,0,2
II_L,12,4,2,2,0,0,0,0,3
IV_LG_A,13,5,2,1,1,0,1,1,2
IV_LG_E,14,5,2,1,0,1,1,1,2
IV_LX_A,15,5,2,3,1,0,3,3,2
IV_LX_E,16,5,2,3,0,1,3,3,2
IV_LL_A,17,5,2,2,1,0,4,3,2
IV_LL_E,18,5,2,2,0,1,4,3,2
Acoustic_X,19,2,3,3,0,0,0,0,2
Alloy_X,20,3,3,3,0,0,0,0,2
II_X,21,4,3,3,0,0,0,0,3
IV_XG_A,22,5,3,1,1,0,2,1,2
IV_XG_E,23,5,3,1,0,1,2,1,2
IV_XL_A,24,5,3,2,1,0,3,4,2
IV_XL_E,25,5,3,2,0,1,3,4,2
IV_XX_A,26,5,3,3,1,0,5,2,2
IV_XX_E,27,5,3,3,0,1,5,2,2
